Self-direction,relig,swear,hear,Universal,article,Sixltr,they,Stimulation,assent,home,insight,adverb,verb,posemo,Unique,certain,anx,ingest,achieve,Openness
1.0,0.56,0.0,0.63,1.0,6.18,31.18,0.07,0.9,0.0,0.42,1.05,1.54,6.25,4.92,49.37,1.33,0.07,0.14,2.32,0.625
0.8,0.2,0.0,0.34,1.0,6.1,30.64,0.2,0.7,0.14,0.34,1.49,2.24,6.31,4.81,48.34,0.95,0.07,0.14,2.92,0.7
0.9,0.43,0.0,0.34,0.867,5.5,30.87,0.34,0.9,0.0,0.34,0.95,1.55,5.07,3.01,49.18,1.29,0.09,0.0,1.72,0.65
0.4,0.66,0.07,0.44,0.667,4.8,30.42,0.15,0.3,0.0,0.44,1.31,1.6,6.7,4.22,52.84,1.38,0.07,0.36,3.2,0.75
0.9,0.43,0.0,0.09,0.733,5.79,31.06,0.0,0.8,0.0,0.6,1.96,1.02,5.02,4.6,53.87,0.77,0.09,0.34,2.98,0.65
0.8,0.48,0.0,0.85,0.533,5.08,29.38,0.24,0.5,0.12,0.24,1.09,1.33,5.2,4.47,51.87,1.21,0.0,0.0,2.06,0.575
0.7,0.07,0.0,0.21,0.533,6.35,32.19,0.07,0.7,0.0,0.42,1.19,1.47,5.87,3.84,43.92,1.33,0.35,0.0,2.09,0.5
1.0,0.53,0.0,0.15,0.733,4.66,31.8,0.15,0.8,0.0,0.6,1.43,2.03,4.81,3.61,53.91,1.28,0.08,0.38,2.18,0.6
0.8,0.36,0.0,0.53,0.733,5.08,28.58,0.18,0.7,0.09,0.45,0.98,1.78,6.68,4.27,51.47,1.16,0.0,0.0,2.14,0.6
0.9,0.36,0.0,0.36,0.933,6.58,30.69,0.57,0.7,0.0,0.5,1.29,1.79,6.58,4.94,50.93,1.0,0.0,0.29,2.36,0.725
0.9,0.09,0.0,0.17,0.6,4.58,31.66,0.09,0.5,0.0,0.17,1.38,2.42,5.97,5.02,51.73,1.3,0.0,0.26,2.77,0.6
0.8,0.09,0.0,0.7,0.867,4.97,28.33,0.26,0.9,0.0,0.61,1.74,1.39,7.15,4.45,48.47,0.78,0.09,0.17,1.74,0.675
0.6,0.08,0.0,0.23,0.933,5.55,30.16,0.16,0.9,0.0,0.16,1.8,1.72,7.11,4.45,48.75,0.78,0.08,1.09,2.03,0.425
1.0,0.39,0.08,0.46,0.933,6.19,30.78,0.15,0.6,0.08,0.15,1.39,1.55,5.88,5.34,49.42,1.24,0.15,0.0,2.71,0.575
0.9,0.28,0.0,0.57,1.0,5.62,29.59,0.07,0.9,0.0,0.85,1.42,2.13,6.26,4.98,48.86,1.0,0.07,0.5,1.78,0.65
0.7,0.07,0.07,0.22,0.733,5.31,30.09,0.07,1.0,0.0,0.67,1.27,2.17,7.41,3.82,51.72,1.42,0.15,0.52,2.47,0.725
0.6,0.69,0.0,1.03,0.733,5.57,31.02,0.17,0.8,0.0,0.17,1.71,1.46,5.23,3.94,52.96,1.11,0.26,0.17,1.29,0.75
0.6,0.08,0.0,0.17,0.667,6.05,30.34,0.17,0.5,0.25,0.34,1.01,1.51,6.3,4.12,49.5,1.01,0.08,0.84,2.02,0.475
0.3,0.23,0.23,0.47,0.733,5.17,28.43,0.47,0.6,0.31,0.31,1.88,2.04,6.89,4.7,52.0,1.02,0.31,0.16,2.04,0.75
1.0,0.08,0.16,0.39,0.867,6.45,29.56,0.39,1.0,0.08,0.79,0.63,1.65,5.58,4.72,52.91,1.1,0.08,2.04,2.12,0.65
0.9,0.16,0.0,0.7,0.933,6.38,33.54,0.31,0.8,0.16,0.39,1.95,1.48,5.91,4.2,53.7,0.93,0.0,0.47,3.11,0.6
1.0,0.07,0.0,0.07,0.333,4.76,30.98,0.07,1.0,0.0,1.29,0.95,1.22,5.5,4.42,45.52,1.36,0.14,0.2,2.92,0.525
0.6,0.08,0.08,0.46,0.8,6.82,29.43,0.0,1.0,0.0,0.62,1.24,1.16,5.65,4.34,49.11,0.93,0.08,0.39,2.94,0.575
0.9,0.28,0.0,0.07,0.8,5.51,31.61,0.21,0.8,0.07,0.14,1.86,2.48,6.75,4.34,50.14,0.96,0.21,0.07,2.62,0.65
0.9,0.29,0.0,0.39,0.733,4.17,21.61,0.0,0.9,0.0,0.29,0.97,2.81,7.56,5.81,52.42,0.87,0.29,0.58,1.26,0.7
1.0,0.56,0.0,0.28,0.933,6.09,31.65,0.28,0.9,0.09,0.47,0.75,1.59,5.24,5.43,51.22,0.94,0.09,0.0,3.75,0.725
0.9,0.43,0.0,0.5,1.0,4.39,30.89,0.5,0.7,0.07,0.07,2.16,2.23,6.91,4.9,48.74,1.66,0.07,0.0,3.24,0.65
1.0,0.43,0.17,0.69,0.733,5.68,29.35,0.17,0.7,0.17,0.09,0.77,1.72,5.42,3.96,49.91,1.2,0.09,0.26,1.55,0.775
1.0,0.63,0.0,0.06,0.667,7.94,32.76,0.25,0.5,0.0,0.19,2.41,1.65,5.65,4.13,48.19,0.63,0.06,0.19,3.37,0.875
1.0,0.6,0.0,0.34,0.8,5.36,33.25,0.43,0.7,0.17,0.26,1.36,1.96,7.14,4.42,47.62,1.19,0.0,0.0,3.32,0.725
1.0,0.1,0.0,0.0,0.8,5.07,33.16,0.1,0.8,0.0,0.2,2.43,1.83,4.77,4.46,58.01,1.42,0.1,0.3,1.93,0.6
0.8,0.7,0.0,0.07,0.867,6.36,31.19,0.21,0.8,0.07,0.28,1.54,1.75,5.87,5.31,49.16,1.26,0.49,0.49,2.24,0.625
1.0,0.15,0.0,0.15,0.533,5.23,32.94,0.0,0.7,0.0,0.97,2.32,1.72,6.42,5.38,47.27,1.19,0.0,0.75,2.32,0.55
0.7,0.13,0.0,0.27,0.6,4.65,26.6,0.13,0.6,0.0,0.0,1.46,2.79,8.11,5.19,51.86,1.99,0.0,0.0,1.2,0.475
0.4,0.34,0.0,0.41,0.733,5.84,29.42,0.14,0.9,0.07,0.21,1.17,1.72,5.43,3.37,51.55,0.76,0.07,0.69,2.27,0.55
0.7,0.14,0.0,0.51,1.0,5.7,30.47,0.22,1.0,0.07,0.58,1.37,1.59,6.64,4.98,51.77,1.23,0.14,1.3,2.17,0.575
0.6,0.56,0.0,0.48,0.733,6.02,28.92,0.0,0.7,0.0,0.16,2.17,1.93,6.18,5.14,52.53,1.37,0.24,0.08,1.93,0.6
0.8,0.24,0.0,0.16,0.867,6.31,34.61,0.0,0.9,0.08,0.24,1.28,1.12,5.04,4.56,48.36,0.8,0.16,0.16,2.96,0.775
0.9,0.0,0.0,0.0,0.6,3.88,22.46,0.0,0.6,0.09,0.0,0.92,7.86,10.54,4.81,40.11,1.94,0.0,0.0,0.83,0.5
